Date,Rain,feed_temp,PET,P_minus_PET,SPEI
1980-01-31,0.0,22.77516129032258,72.22541244812825,-72.22541244812825,0.08725986845881706
1980-02-29,0.0,25.984482758620693,121.70540417855307,-121.70540417855307,-0.3147591425772133
1980-03-31,0.5231,28.785645161290322,182.51597684250967,-181.99287684250967,-0.804587642757067
1980-04-30,16.7174,32.253,286.29580989184393,-269.57840989184393,-1.5162096165316896
1980-05-31,0.0,33.75451612903226,342.79691471793495,-342.79691471793495,-2.1111012054407974
1980-06-30,181.799,28.2215,168.76264255745383,13.036357442546176,0.7800015446776913
1980-07-31,62.1097,26.725322580645162,136.03027948143915,-73.92057948143915,0.0734868391910396
1980-08-31,132.0571,25.424354838709675,111.64737202304568,20.409727976954315,0.839909297823541
1980-09-30,117.366,26.7655,136.84154467585776,-19.475544675857762,0.515846230995533
1980-10-31,0.0,27.33693548387097,148.77595583717002,-148.77595583717002,-0.534704134995334
1980-11-30,0.0,24.863166666666665,102.20667611451186,-102.20667611451186,-0.15633431066790865
1980-12-31,3.6471999999999998,21.896129032258063,61.80553049603057,-58.15833049603057,0.20155322576889412
1981-01-31,27.7472,21.26258064516129,57.598513223092326,-29.851313223092326,0.43154435332296415
1981-02-28,0.0,25.259821428571428,110.68985717810524,-110.68985717810524,-0.22525914154107884
1981-03-31,16.4334,27.73483870967742,157.7777851827245,-141.3443851827245,-0.47432351283958074
1981-04-30,0.0,31.964333333333336,270.26222790531097,-270.26222790531097,-1.5217655560516554
1981-05-31,18.054000000000002,32.839677419354835,299.4179821316523,-281.3639821316523,-1.6119659804808792
1981-06-30,130.1487,29.896333333333335,209.71819159492904,-79.56949159492905,0.02759010433167903
1981-07-31,165.5901,27.154032258064515,145.61036829794406,19.979731702055943,0.8364156295520176
1981-08-31,114.7814,25.99451612903226,123.40248054863497,-8.621080548634964,0.6040374529651392
1981-09-30,286.2918,26.131333333333334,125.88356543329276,160.40823456670728,1.9773804088206415
1981-10-31,50.1139,25.9941935483871,123.39667367513643,-73.28277367513643,0.07866893503454384
1981-11-30,11.0033,23.011333333333333,77.72756699515334,-66.72426699515334,0.13195601688623196
1981-12-31,0.2734,21.86,63.98011464404074,-63.70671464404074,0.15647326859785268
1982-01-31,0.0,23.331612903225807,80.39616220955064,-80.39616220955064,0.020873504523955776
1982-02-28,0.9274,25.688035714285714,116.95296924033539,-116.02556924033539,-0.26861116346778835
1982-03-31,0.0,28.325322580645164,171.13929914649333,-171.13929914649333,-0.7164036229349249
1982-04-30,8.3708,31.004166666666666,243.34789143719433,-234.97709143719433,-1.235078045179231
1982-05-31,10.019,31.556774193548385,260.68473849887386,-250.66573849887385,-1.3625464249354777
1982-06-30,65.3601,29.86866666666667,210.42860638005223,-145.0685063800522,-0.5045815518644218
1982-07-31,152.3374,27.434838709677418,151.11593243402976,1.2214675659702436,0.6840069784385049
1982-08-31,48.4994,26.733225806451614,136.60995121513568,-88.11055121513567,-0.04180498288705847
1982-09-30,192.685,26.6115,134.20277675955148,58.48222324044852,1.149243765316842
1982-10-31,36.506899999999995,26.39741935483871,130.045912577601,-93.539012577601,-0.08591058177792708
1982-11-30,16.0762,23.81383333333333,87.06521111777536,-70.98901111777536,0.09730548129521666
1982-12-31,0.0,22.29758064516129,67.38224150053102,-67.38224150053102,0.12661005277653695
1983-01-31,0.0,22.25483870967742,69.21157927588891,-69.21157927588891,0.1117469022872045
1983-02-28,0.0,24.649464285714284,101.47273860342719,-101.47273860342719,-0.15037115622810954
1983-03-31,0.0,28.64016129032258,177.9668343052785,-177.9668343052785,-0.7718765289795066
1983-04-30,0.0,31.3665,250.145313784227,-250.145313784227,-1.3583180364134886
1983-05-31,40.4818,33.245,311.0048448657777,-270.5230448657777,-1.5238846626408302
1983-06-30,107.3794,30.608999999999998,228.26666505863116,-120.88726505863116,-0.3081118601428742
1983-07-31,222.58630000000002,27.658709677419353,156.18576972430273,66.40053027569729,1.21357906231393
1983-08-31,410.2417,25.92790322580645,122.62176438022999,287.61993561977,3.0109602551591554
1983-09-30,341.9569,25.50883333333333,115.36443196750018,226.59246803249982,2.515119384790095
1983-10-31,131.5412,24.80306451612903,103.86044867484091,27.680751325159093,0.8989854923304165
1983-11-30,2.1329,21.673,62.676152033268394,-60.543252033268395,0.18217602370664457
1983-12-31,4.5282,20.865967741935485,54.374982984145475,-49.84678298414548,0.26908355457556665
1984-01-31,0.0,22.71225806451613,73.27316978093431,-73.27316978093431,0.07874696552554036
1984-02-29,4.0114,24.345,95.64265493021226,-91.63125493021226,-0.07041027921364737
1984-03-31,0.0,28.551612903225806,176.32148656001422,-176.32148656001422,-0.7585082754647273
1984-04-30,1.8682,31.623833333333334,260.9998195117264,-259.1316195117264,-1.4313306949668516
1984-05-31,0.0,34.08370967741936,347.9299312849689,-347.9299312849689,-2.1528063507276687
1984-06-30,81.5968,29.502166666666668,199.93592092528084,-118.33912092528084,-0.2874084940217182
1984-07-31,189.0622,26.458709677419357,131.65004592476407,57.41215407523592,1.1405495814155457
1984-08-31,54.5935,25.780806451612904,119.16839030372778,-64.57489030372778,0.14941944526630332
1984-09-30,146.0801,26.264666666666667,127.98308175406498,18.097018245935004,0.8211188080444958
1984-10-31,75.283,26.115322580645163,125.21268733719987,-49.929687337199866,0.2684099666290065
1984-11-30,8.3541,22.90266666666667,75.65884728919505,-67.30474728919505,0.12723968396912158
1984-12-31,14.9057,22.32451612903226,68.58752886268054,-53.68182886268055,0.23792426579140022
1985-01-31,6.4309,23.28483870967742,80.84209352745968,-74.41119352745969,0.06950065878389367
